"conversation_id","created_at","favorite_count","full_text","hashtags/0","hashtags/1","hashtags/2","hashtags/3","hashtags/4","hashtags/5","hashtags/6","hashtags/7","hashtags/8","id","media/0/media_url","media/0/type","media/1/media_url","media/1/type","media/2/media_url","media/2/type","media/3/media_url","media/3/type","reply_count","retweet_count","startUrl","symbols/0","url","urls/0/display_url","urls/0/expanded_url","urls/0/url","user/advertiser_account_type","user/blocked_by","user/blocking","user/business_profile_state","user/can_dm","user/contributors_enabled","user/created_at","user/default_profile_image","user/description","user/ext_has_nft_avatar","user/ext_is_blue_verified","user/ext_verified_type","user/fast_followers_count","user/favourites_count","user/follow_request_sent","user/followed_by","user/followers_count","user/following","user/friends_count","user/geo_enabled","user/has_custom_timelines","user/id","user/id_str","user/is_translation_enabled","user/is_translator","user/lang","user/listed_count","user/location","user/media_count","user/muting","user/name","user/normal_followers_count","user/notifications","user/profile_background_color","user/profile_background_image_url","user/profile_background_image_url_https","user/profile_background_tile","user/profile_banner_extensions_sensitive_media_warning","user/profile_banner_url","user/profile_image_extensions_sensitive_media_warning","user/profile_image_url","user/profile_image_url_https","user/profile_sidebar_border_color","user/profile_sidebar_fill_color","user/profile_text_color","user/profile_use_background_image","user/protected","user/require_some_consent","user/screen_name","user/statuses_count","user/time_zone","user/translator_type","user/url","user/utc_offset","user/verified","user/want_retweets","user_mentions/0/id_str","user_mentions/0/name","user_mentions/0/screen_name","user_mentions/1/id_str","user_mentions/1/name","user_mentions/1/screen_name","user_mentions/2/id_str","user_mentions/2/name","user_mentions/2/screen_name","user_mentions/3/id_str","user_mentions/3/name","user_mentions/3/screen_name","user_mentions/4/id_str","user_mentions/4/name","user_mentions/4/screen_name","view_count"
"1624741969045123072","2023-02-12T12:07:26.000Z","0","Freedom is poetry, taking liberties with words, breaking the rules of normal speech, violating common sense. Freedom is violence.
-Norman O. Brown

kalim~

SUMBUL GRACING BB16 FINALE",,,,,,,,,,"1624741969045123072",,,,,,,,,"0","6","https://twitter.com/search?q=normal%20words&src=typed_query",,"https://twitter.com/Godgift64107811/status/1624741969045123072",,,,"none",,,"none",,"false","2022-07-08T12:43:13.000Z","false","I love MUNAWAR bhai a lot.","false","false",,"0","3800",,,"1129",,"1711","false","false","1545387927387136000","1545387927387136004","false","false",,"0","","11",,"kalim","1129",,"F5F8FA",,,"false",,,,"http://pbs.twimg.com/profile_images/1545388317612597248/YOVmzLHO_normal.jpg","https://pbs.twimg.com/profile_images/1545388317612597248/YOVmzLHO_normal.jpg","C0DEED","DDEEF6","333333","true","false","false","Godgift64107811","23157",,"none",,,"false",,,,,,,,,,,,,,,,,"16"
"1624703783115825155","2023-02-12T09:35:42.000Z","12","How is going,Biu?Are you passing peacefully and happily doing the things you like in your normal life?💙  PLEASE COME BACK AFTER YOU REST  ENOUGH. 🥺Beyourluves can't express with the words how we  are missing you.
21th day*
#Beyourluve
#AlwaysWithYou 
WITH BUILD UNTIL THE END https://t.co/pksQRlD3B3","Beyourluve","AlwaysWithYou",,,,,,,,"1624703783115825155","https://pbs.twimg.com/media/FowbeWnaUAEkoHd.jpg","photo",,,,,,,"0","6","https://twitter.com/search?q=normal%20words&src=typed_query",,"https://twitter.com/buildeveyday/status/1624703783115825155",,,,"none",,,"none",,"false","2022-07-25T10:26:35.000Z","false","I am trying to pass everyday with the things I like ; stay positive and I am running to my dream to see the 🌞💜","false","false",,"0","405",,,"220",,"190","false","true","1551513602615816200","1551513602615816192","false","false",,"0","Myanmar","27",,"Waiting day by day","220",,"F5F8FA",,,"false",,"https://pbs.twimg.com/profile_banners/1551513602615816192/1674893857",,"http://pbs.twimg.com/profile_images/1588882452256555009/iIXmcdtI_normal.jpg","https://pbs.twimg.com/profile_images/1588882452256555009/iIXmcdtI_normal.jpg","C0DEED","DDEEF6","333333","true","false","false","buildeveyday","91",,"none",,,"false",,,,,,,,,,,,,,,,,"175"
"1624745424224411649","2023-02-12T12:21:10.000Z","1","u got ball sniffer on your team ofc u would find a perfectly normal speech ""creepy""",,,,,,,,,,"1624745424224411649",,,,,,,,,"0","0","https://twitter.com/search?q=normal%20speech&src=typed_query",,"https://twitter.com/zipsuga/status/1624745424224411649",,,,"none",,,"none",,"false","2022-03-13T19:36:39.000Z","false","me and bts against the world","false","false",,"0","3239",,,"319",,"349","false","true","1503092660415963100","1503092660415963138","false","false",,"5","any","1646",,"☆","319",,"F5F8FA",,,"false",,"https://pbs.twimg.com/profile_banners/1503092660415963138/1675843031",,"http://pbs.twimg.com/profile_images/1623228522654322690/q0uYGRKU_normal.jpg","https://pbs.twimg.com/profile_images/1623228522654322690/q0uYGRKU_normal.jpg","C0DEED","DDEEF6","333333","true","false","false","zipsuga","10863",,"none","https://t.co/RniQrZXQbW",,"false",,,,,,,,,,,,,,,,,"34"
"1624684918100971521","2023-02-12T08:20:44.000Z","33","The sensible normal British public have had enough of the claptrap being forced upon society. Whilst choices remain, we are all responsible for our own choice

But we see many occasions where choice has been removed. As has freedom of speech in other scenarios

Enough is enough",,,,,,,,,,"1624684918100971521",,,,,,,,,"0","15","https://twitter.com/search?q=normal%20speech&src=typed_query",,"https://twitter.com/DawnieR2/status/1624684918100971521",,,,"none",,,"none",,"false","2011-08-19T12:10:39.000Z","false","Brexit 
Ex Tory...#neverLabour...EVER!
What happened to this great country?
Cheshire
Crazy JRT owner💙
Bookworm
Animal lover 
Ex NHS
🕷🌹 #FBPE blocked
No DMs","false","false",,"0","86935",,,"4060",,"4662","true","true","358118871","358118871","false","false",,"14","Cheshire","241",,"🇬🇧Dawn in Cheshire🏴󠁧󠁢󠁥󠁮󠁧󠁿 #NEVERLABOUR","4060",,"642D8B","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png","true",,"https://pbs.twimg.com/profile_banners/358118871/1663879970",,"http://pbs.twimg.com/profile_images/1573052722642911232/7Cf-K10u_normal.jpg","https://pbs.twimg.com/profile_images/1573052722642911232/7Cf-K10u_normal.jpg","65B0DA","ED7CED","193557","true","false","false","DawnieR2","39450",,"none",,,"false",,,,,,,,,,,,,,,,,"735"
"1624659992908382208","2023-02-12T06:41:41.000Z","41","There is a conspiracy to declare all concerned citizens and their acts of protest as ‘right wing’ to denigrate them and their views….",,,,,,,,,,"1624659992908382208",,,,,,,,,"2","13","https://twitter.com/search?q=normal%20speech&src=typed_query",,"https://twitter.com/chilternbear11/status/1624659992908382208",,,,"none",,,"none",,"false","2022-06-06T13:41:02.000Z","false","If you look for perfection you will never be content. #dogs #cats #Brexit …If you want to be happy..be. Follow all back Anti-Woke","false","false",,"0","36014",,,"4642",,"4637","false","false","1533806007712882700","1533806007712882688","false","false",,"5","The Real World","1876",,"ChilternBear","4642",,"F5F8FA",,,"false",,"https://pbs.twimg.com/profile_banners/1533806007712882688/1654542820",,"http://pbs.twimg.com/profile_images/1533889829825613825/Y8K-PTYm_normal.jpg","https://pbs.twimg.com/profile_images/1533889829825613825/Y8K-PTYm_normal.jpg","C0DEED","DDEEF6","333333","true","false","false","chilternbear11","24709",,"none",,,"false",,,,,,,,,,,,,,,,,"1325"
"1624646296215617537","2023-02-12T05:47:16.000Z","51","It's not normal to protect and caress a bracelet like that, it's to show us that she's thinking of Namor and not just as an enemy. Plus in the ancestral plane Killmonger told her exactly the same words as Namor.She's obsessed with him,for a lot of reasons,not just fear or anger.",,,,,,,,,,"1624646296215617537",,,,,,,,,"2","7","https://twitter.com/search?q=normal%20words&src=typed_query",,"https://twitter.com/Bianca10792571/status/1624646296215617537",,,,"none",,,"none",,"false","2019-04-16T17:47:18.000Z","false","Ella/She/her","false","false",,"0","109440",,,"528",,"208","false","true","1118209262101024800","1118209262101024768","false","false",,"3","","2445",,"Bianca 🇲🇽","528",,"F5F8FA",,,"false",,"https://pbs.twimg.com/profile_banners/1118209262101024768/1675918990",,"http://pbs.twimg.com/profile_images/1594716967725715456/8hRlnt7-_normal.jpg","https://pbs.twimg.com/profile_images/1594716967725715456/8hRlnt7-_normal.jpg","C0DEED","DDEEF6","333333","true","false","false","Bianca10792571","39450",,"none",,,"false",,,,,,,,,,,,,,,,,"812"
"1624638614473940993","2023-02-12T05:16:44.000Z","26","my irls think them insulting me is gonna affect me. bitch I'm a ns larrie, genderqueer Harry truther and a gaylor on stan twitter. people telling me to d1e has become so normal your words mean nothing to me",,,,,,,,,,"1624638614473940993",,,,,,,,,"2","0","https://twitter.com/search?q=normal%20words&src=typed_query",,"https://twitter.com/phhlvr_vee/status/1624638614473940993",,,,"none",,,"none",,"false","2022-01-25T05:05:42.000Z","false","#1 houaylor stan ♡ I don't remember the toast, but I remember the feeling♡ ✿fan account✿","false","false",,"0","23984",,,"741",,"898","true","true","1485840189889351700","1485840189889351681","false","false",,"3","she/her 16","418",,"vee ×͜× ia","741",,"F5F8FA",,,"false",,"https://pbs.twimg.com/profile_banners/1485840189889351681/1670940072",,"http://pbs.twimg.com/profile_images/1598689670430617602/hhBEbpS9_normal.jpg","https://pbs.twimg.com/profile_images/1598689670430617602/hhBEbpS9_normal.jpg","C0DEED","DDEEF6","333333","true","false","false","phhlvr_vee","6965",,"none","https://t.co/sh6F554l3g",,"false",,,,,,,,,,,,,,,,,"294"
"1624639891064717313","2023-02-12T05:21:49.000Z","3","I blame @RealDoskii for adding the phrase ""no flappers"" to my normal speech.... https://t.co/AgttY3bJqx",,,,,,,,,,"1624639891064717313","https://pbs.twimg.com/ext_tw_video_thumb/1624639737150537731/pu/img/46iMrOxfsQuZhuGO.jpg","photo",,,,,,,"0","0","https://twitter.com/search?q=normal%20speech&src=typed_query",,"https://twitter.com/BanetteFake/status/1624639891064717313",,,,"none",,,"none",,"false","2019-05-01T23:34:11.000Z","false","Nocturnal Voodoo puppet that curses too much
PNG by @kalkkogan
https://t.co/srsDRirPEa…","false","false",,"0","6811",,,"269",,"328","true","true","1123732377614864400","1123732377614864384","false","false",,"0","Earth","885",,"The Fake Banette PNG TUBER VHS ARC","269",,"F5F8FA",,,"false",,"https://pbs.twimg.com/profile_banners/1123732377614864384/1674768772",,"http://pbs.twimg.com/profile_images/1587713359096516610/SZiHAv0z_normal.jpg","https://pbs.twimg.com/profile_images/1587713359096516610/SZiHAv0z_normal.jpg","C0DEED","DDEEF6","333333","true","false","false","BanetteFake","4895",,"none","https://t.co/3CxEzyw8Jr",,"false",,"2360240472","Doskii | 🦌 Vtuber |","RealDoskii",,,,,,,,,,,,,"51"
"1624638191600041984","2023-02-12T05:15:03.000Z","30","we don't talk enough about Lockwood's wise words , “The world's mad and normal never fixed anything ”, like he SPILLED the truth and i love him for that , he is the leader for all right reasons!

#LockwoodandCo || #renewlockwoodandco https://t.co/y4VTtzYvBI","LockwoodandCo","renewlockwoodandco",,,,,,,,"1624638191600041984","https://pbs.twimg.com/media/FovfmUwakAARfdz.jpg","photo","https://pbs.twimg.com/media/Fovfp16aQAEM7Ck.jpg","photo","https://pbs.twimg.com/media/FovfuVhaYAAx0ek.jpg","photo","https://pbs.twimg.com/media/Fovfw6-aMAAhSe0.jpg","photo","0","7","https://twitter.com/search?q=normal%20words&src=typed_query",,"https://twitter.com/shutupjesper/status/1624638191600041984",,,,"promotable_user",,,"none",,"false","2016-07-02T09:28:53.000Z","false","shows , books📖 , coffee , music, fictional mls and everything in between ♡☽

(19♡|| she/her)","false","false",,"0","138171",,,"1782",,"691","true","true","749172984536043500","749172984536043520","false","false",,"19","➌➎ portland row.","14652",,"𝑆𝑤𝑎⋅𑁍 (locky's ring˚◞♡)","1782",,"F5F8FA",,,"false",,"https://pbs.twimg.com/profile_banners/749172984536043520/1675664983",,"http://pbs.twimg.com/profile_images/1624491675363184641/7BVxsgH6_normal.jpg","https://pbs.twimg.com/profile_images/1624491675363184641/7BVxsgH6_normal.jpg","C0DEED","DDEEF6","333333","true","false","false","shutupjesper","144731",,"none","https://t.co/1DnO7MPfgx",,"false",,,,,,,,,,,,,,,,,"540"
"1624439331283779593","2023-02-11T16:04:51.000Z","23","Having HIV/AIDS is a form of disability. You can't perform all normal duties even with ARV Drugs. @KagutaMuseveni says in a brilliant speech to youth to avoid getting and celebrating HIV/AIDS. @cehurduganda @AidsUganda https://t.co/H4f9lX5kXM",,,,,,,,,,"1624439331283779593","https://pbs.twimg.com/ext_tw_video_thumb/1624438951908982787/pu/img/5sXpRsPPiPCkHkyz.jpg","photo",,,,,,,"5","8","https://twitter.com/search?q=normal%20speech&src=typed_query",,"https://twitter.com/martinssempa/status/1624439331283779593",,,,"promotable_user",,,"none",,"false","2009-02-05T08:20:48.000Z","false","Pastor Makerere Community Church, 30 years fighting HIV/AIDS. https://t.co/YfH0srJII5, PhD. Voted Most Influential Clergy in Uganda. DBA Gabriel Baaba +256772641028 whatsap","false","false",,"0","52755",,,"25403",,"3430","true","true","20127594","20127594","false","false",,"60","Makerere University - Uganda","9934",,"Martin Ssempa","25403",,"131516","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png","true",,"https://pbs.twimg.com/profile_banners/20127594/1621273478",,"http://pbs.twimg.com/profile_images/1598266766303559681/laktjHqj_normal.jpg","https://pbs.twimg.com/profile_images/1598266766303559681/laktjHqj_normal.jpg","EEEEEE","EFEFEF","871508","true","false","false","martinssempa","60291",,"none",,,"false",,"126955629","Yoweri K Museveni","KagutaMuseveni","360470255","CEHURD Uganda","cehurduganda","1257293895605596162","AIDS Information Centre - Uganda","AidsUganda",,,,,,,"2188"
